"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-05",,"0","0","22","22","31",,"0","22","3","0","0","14","51",,"1.00","61","10902","880","6.49",,"36.6","45.4","27.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-06",,"0","0","9","9","18",,"0","5","0","0","0","23","37",,"0.40","69","11448","546","2.20",,"46.8","55.8","37.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-07",,"0","0","4","4","0",,"0","0","0","4","0","38","0",,"0.80","71","311","311","1.80",,"55.0","64.6","45.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-08",,"0","0","4","4","0",,"0","0","0","5","0","35","0",,"0.20","70","639","328","0.70",,"54.4","64.1","44.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-09",,"0","0","12","12","1",,"0","7","0","3","0","22","1",,"1.50","71","1203","564","4.50",,"46.2","54.5","37.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-10",,"0","0","16","16","29",,"4","29","11","0","0","-14","18",,"0.90","52","2431","1229","3.49",,"25.4","34.6","16.1",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-11",,"0","0","14","14","30",,"1","30","12","0","0","-1","27",,"0.40","45","3654","1223","2.29",,"24.2","32.7","15.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2019-12",,"0","0","7","7","29",,"0","31","23","0","0","1","33",,"0.30","38","5045","1390","0.99",,"20.1","26.8","13.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-01",,"0","0","15","15","31",,"2","31","25","0","0","-7","47",,"0.30","40","6499","1455","2.29",,"18.1","25.6","10.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2020-02",,"0","0","12","12","29",,"7","29","22","0","0","-7","57",,"0.50","38","7956","1457","3.20",,"14.8","23.4","6.1",,,,
